rulesText,typeLine,setCode,cardNumber,cost,power,toughness,Title,newText
"Generated effect for card 14.\nIf this is a bulk test, card 14 validates row-level rendering.",CREATURE - TESTER,SMO,00014/500,6,1,3,Card 14,Variant 14
"Generated effect for card 15.\nIf this is a bulk test, card 15 validates row-level rendering.",CREATURE - TESTER,SMO,00015/500,7,2,4,Card 15,Variant 15
"Generated effect for card 16.\nIf this is a bulk test, card 16 validates row-level rendering.",CREATURE - TESTER,SMO,00016/500,8,3,5,Card 16,Variant 16
"Generated effect for card 17.\nIf this is a bulk test, card 17 validates row-level rendering.",CREATURE - TESTER,SMO,00017/500,9,4,6,Card 17,Variant 17
"Generated effect for card 18.\nIf this is a bulk test, card 18 validates row-level rendering.",CREATURE - TESTER,SMO,00018/500,1,5,7,Card 18,Variant 18
"Generated effect for card 19.\nIf this is a bulk test, card 19 validates row-level rendering.",CREATURE - TESTER,SMO,00019/500,2,6,1,Card 19,Variant 19
"Generated effect for card 20.\nIf this is a bulk test, card 20 validates row-level rendering.",CREATURE - TESTER,SMO,00020/500,3,7,2,Card 20,Variant 20
"Generated effect for card 21.\nIf this is a bulk test, card 21 validates row-level rendering.",CREATURE - TESTER,SMO,00021/500,4,1,3,Card 21,Variant 21
"Generated effect for card 22.\nIf this is a bulk test, card 22 validates row-level rendering.",CREATURE - TESTER,SMO,00022/500,5,2,4,Card 22,Variant 22
"Generated effect for card 23.\nIf this is a bulk test, card 23 validates row-level rendering.",CREATURE - TESTER,SMO,00023/500,6,3,5,Card 23,Variant 23
"Generated effect for card 24.\nIf this is a bulk test, card 24 validates row-level rendering.",CREATURE - TESTER,SMO,00024/500,7,4,6,Card 24,Variant 24
"Generated effect for card 25.\nIf this is a bulk test, card 25 validates row-level rendering.",CREATURE - TESTER,SMO,00025/500,8,5,7,Card 25,Variant 25
"Generated effect for card 26.\nIf this is a bulk test, card 26 validates row-level rendering.",CREATURE - TESTER,SMO,00026/500,9,6,1,Card 26,Variant 26
"Generated effect for card 27.\nIf this is a bulk test, card 27 validates row-level rendering.",CREATURE - TESTER,SMO,00027/500,1,7,2,Card 27,Variant 27
"Generated effect for card 28.\nIf this is a bulk test, card 28 validates row-level rendering.",CREATURE - TESTER,SMO,00028/500,2,1,3,Card 28,Variant 28
"Generated effect for card 29.\nIf this is a bulk test, card 29 validates row-level rendering.",CREATURE - TESTER,SMO,00029/500,3,2,4,Card 29,Variant 29
"Generated effect for card 30.\nIf this is a bulk test, card 30 validates row-level rendering.",CREATURE - TESTER,SMO,00030/500,4,3,5,Card 30,Variant 30
"Generated effect for card 31.\nIf this is a bulk test, card 31 validates row-level rendering.",CREATURE - TESTER,SMO,00031/500,5,4,6,Card 31,Variant 31
"Generated effect for card 32.\nIf this is a bulk test, card 32 validates row-level rendering.",CREATURE - TESTER,SMO,00032/500,6,5,7,Card 32,Variant 32
"Generated effect for card 33.\nIf this is a bulk test, card 33 validates row-level rendering.",CREATURE - TESTER,SMO,00033/500,7,6,1,Card 33,Variant 33
"Generated effect for card 34.\nIf this is a bulk test, card 34 validates row-level rendering.",CREATURE - TESTER,SMO,00034/500,8,7,2,Card 34,Variant 34
"Generated effect for card 35.\nIf this is a bulk test, card 35 validates row-level rendering.",CREATURE - TESTER,SMO,00035/500,9,1,3,Card 35,Variant 35
"Generated effect for card 36.\nIf this is a bulk test, card 36 validates row-level rendering.",CREATURE - TESTER,SMO,00036/500,1,2,4,Card 36,Variant 36
"Generated effect for card 37.\nIf this is a bulk test, card 37 validates row-level rendering.",CREATURE - TESTER,SMO,00037/500,2,3,5,Card 37,Variant 37
"Generated effect for card 38.\nIf this is a bulk test, card 38 validates row-level rendering.",CREATURE - TESTER,SMO,00038/500,3,4,6,Card 38,Variant 38
"Generated effect for card 39.\nIf this is a bulk test, card 39 validates row-level rendering.",CREATURE - TESTER,SMO,00039/500,4,5,7,Card 39,Variant 39
"Generated effect for card 40.\nIf this is a bulk test, card 40 validates row-level rendering.",CREATURE - TESTER,SMO,00040/500,5,6,1,Card 40,Variant 40
"Generated effect for card 41.\nIf this is a bulk test, card 41 validates row-level rendering.",CREATURE - TESTER,SMO,00041/500,6,7,2,Card 41,Variant 41
"Generated effect for card 42.\nIf this is a bulk test, card 42 validates row-level rendering.",CREATURE - TESTER,SMO,00042/500,7,1,3,Card 42,Variant 42
"Generated effect for card 43.\nIf this is a bulk test, card 43 validates row-level rendering.",CREATURE - TESTER,SMO,00043/500,8,2,4,Card 43,Variant 43
"Generated effect for card 44.\nIf this is a bulk test, card 44 validates row-level rendering.",CREATURE - TESTER,SMO,00044/500,9,3,5,Card 44,Variant 44
"Generated effect for card 45.\nIf this is a bulk test, card 45 validates row-level rendering.",CREATURE - TESTER,SMO,00045/500,1,4,6,Card 45,Variant 45
"Generated effect for card 46.\nIf this is a bulk test, card 46 validates row-level rendering.",CREATURE - TESTER,SMO,00046/500,2,5,7,Card 46,Variant 46
"Generated effect for card 47.\nIf this is a bulk test, card 47 validates row-level rendering.",CREATURE - TESTER,SMO,00047/500,3,6,1,Card 47,Variant 47
"Generated effect for card 48.\nIf this is a bulk test, card 48 validates row-level rendering.",CREATURE - TESTER,SMO,00048/500,4,7,2,Card 48,Variant 48
"Generated effect for card 49.\nIf this is a bulk test, card 49 validates row-level rendering.",CREATURE - TESTER,SMO,00049/500,5,1,3,Card 49,Variant 49
"Generated effect for card 50.\nIf this is a bulk test, card 50 validates row-level rendering.",CREATURE - TESTER,SMO,00050/500,6,2,4,Card 50,Variant 50
"Generated effect for card 51.\nIf this is a bulk test, card 51 validates row-level rendering.",CREATURE - TESTER,SMO,00051/500,7,3,5,Card 51,Variant 51
"Generated effect for card 52.\nIf this is a bulk test, card 52 validates row-level rendering.",CREATURE - TESTER,SMO,00052/500,8,4,6,Card 52,Variant 52
"Generated effect for card 53.\nIf this is a bulk test, card 53 validates row-level rendering.",CREATURE - TESTER,SMO,00053/500,9,5,7,Card 53,Variant 53
"Generated effect for card 54.\nIf this is a bulk test, card 54 validates row-level rendering.",CREATURE - TESTER,SMO,00054/500,1,6,1,Card 54,Variant 54
"Generated effect for card 55.\nIf this is a bulk test, card 55 validates row-level rendering.",CREATURE - TESTER,SMO,00055/500,2,7,2,Card 55,Variant 55
"Generated effect for card 56.\nIf this is a bulk test, card 56 validates row-level rendering.",CREATURE - TESTER,SMO,00056/500,3,1,3,Card 56,Variant 56
"Generated effect for card 57.\nIf this is a bulk test, card 57 validates row-level rendering.",CREATURE - TESTER,SMO,00057/500,4,2,4,Card 57,Variant 57
"Generated effect for card 58.\nIf this is a bulk test, card 58 validates row-level rendering.",CREATURE - TESTER,SMO,00058/500,5,3,5,Card 58,Variant 58
"Generated effect for card 59.\nIf this is a bulk test, card 59 validates row-level rendering.",CREATURE - TESTER,SMO,00059/500,6,4,6,Card 59,Variant 59
"Generated effect for card 60.\nIf this is a bulk test, card 60 validates row-level rendering.",CREATURE - TESTER,SMO,00060/500,7,5,7,Card 60,Variant 60
"Generated effect for card 61.\nIf this is a bulk test, card 61 validates row-level rendering.",CREATURE - TESTER,SMO,00061/500,8,6,1,Card 61,Variant 61
"Generated effect for card 62.\nIf this is a bulk test, card 62 validates row-level rendering.",CREATURE - TESTER,SMO,00062/500,9,7,2,Card 62,Variant 62
"Generated effect for card 63.\nIf this is a bulk test, card 63 validates row-level rendering.",CREATURE - TESTER,SMO,00063/500,1,1,3,Card 63,Variant 63
"Generated effect for card 64.\nIf this is a bulk test, card 64 validates row-level rendering.",CREATURE - TESTER,SMO,00064/500,2,2,4,Card 64,Variant 64
"Generated effect for card 65.\nIf this is a bulk test, card 65 validates row-level rendering.",CREATURE - TESTER,SMO,00065/500,3,3,5,Card 65,Variant 65
"Generated effect for card 66.\nIf this is a bulk test, card 66 validates row-level rendering.",CREATURE - TESTER,SMO,00066/500,4,4,6,Card 66,Variant 66
"Generated effect for card 67.\nIf this is a bulk test, card 67 validates row-level rendering.",CREATURE - TESTER,SMO,00067/500,5,5,7,Card 67,Variant 67
"Generated effect for card 68.\nIf this is a bulk test, card 68 validates row-level rendering.",CREATURE - TESTER,SMO,00068/500,6,6,1,Card 68,Variant 68
"Generated effect for card 69.\nIf this is a bulk test, card 69 validates row-level rendering.",CREATURE - TESTER,SMO,00069/500,7,7,2,Card 69,Variant 69
"Generated effect for card 70.\nIf this is a bulk test, card 70 validates row-level rendering.",CREATURE - TESTER,SMO,00070/500,8,1,3,Card 70,Variant 70
"Generated effect for card 71.\nIf this is a bulk test, card 71 validates row-level rendering.",CREATURE - TESTER,SMO,00071/500,9,2,4,Card 71,Variant 71
"Generated effect for card 72.\nIf this is a bulk test, card 72 validates row-level rendering.",CREATURE - TESTER,SMO,00072/500,1,3,5,Card 72,Variant 72
"Generated effect for card 73.\nIf this is a bulk test, card 73 validates row-level rendering.",CREATURE - TESTER,SMO,00073/500,2,4,6,Card 73,Variant 73
"Generated effect for card 74.\nIf this is a bulk test, card 74 validates row-level rendering.",CREATURE - TESTER,SMO,00074/500,3,5,7,Card 74,Variant 74
"Generated effect for card 75.\nIf this is a bulk test, card 75 validates row-level rendering.",CREATURE - TESTER,SMO,00075/500,4,6,1,Card 75,Variant 75
"Generated effect for card 76.\nIf this is a bulk test, card 76 validates row-level rendering.",CREATURE - TESTER,SMO,00076/500,5,7,2,Card 76,Variant 76
"Generated effect for card 77.\nIf this is a bulk test, card 77 validates row-level rendering.",CREATURE - TESTER,SMO,00077/500,6,1,3,Card 77,Variant 77
"Generated effect for card 78.\nIf this is a bulk test, card 78 validates row-level rendering.",CREATURE - TESTER,SMO,00078/500,7,2,4,Card 78,Variant 78
"Generated effect for card 79.\nIf this is a bulk test, card 79 validates row-level rendering.",CREATURE - TESTER,SMO,00079/500,8,3,5,Card 79,Variant 79
"Generated effect for card 80.\nIf this is a bulk test, card 80 validates row-level rendering.",CREATURE - TESTER,SMO,00080/500,9,4,6,Card 80,Variant 80
"Generated effect for card 81.\nIf this is a bulk test, card 81 validates row-level rendering.",CREATURE - TESTER,SMO,00081/500,1,5,7,Card 81,Variant 81
"Generated effect for card 82.\nIf this is a bulk test, card 82 validates row-level rendering.",CREATURE - TESTER,SMO,00082/500,2,6,1,Card 82,Variant 82
"Generated effect for card 83.\nIf this is a bulk test, card 83 validates row-level rendering.",CREATURE - TESTER,SMO,00083/500,3,7,2,Card 83,Variant 83
"Generated effect for card 84.\nIf this is a bulk test, card 84 validates row-level rendering.",CREATURE - TESTER,SMO,00084/500,4,1,3,Card 84,Variant 84
"Generated effect for card 85.\nIf this is a bulk test, card 85 validates row-level rendering.",CREATURE - TESTER,SMO,00085/500,5,2,4,Card 85,Variant 85
"Generated effect for card 86.\nIf this is a bulk test, card 86 validates row-level rendering.",CREATURE - TESTER,SMO,00086/500,6,3,5,Card 86,Variant 86
"Generated effect for card 87.\nIf this is a bulk test, card 87 validates row-level rendering.",CREATURE - TESTER,SMO,00087/500,7,4,6,Card 87,Variant 87
"Generated effect for card 88.\nIf this is a bulk test, card 88 validates row-level rendering.",CREATURE - TESTER,SMO,00088/500,8,5,7,Card 88,Variant 88
"Generated effect for card 89.\nIf this is a bulk test, card 89 validates row-level rendering.",CREATURE - TESTER,SMO,00089/500,9,6,1,Card 89,Variant 89
"Generated effect for card 90.\nIf this is a bulk test, card 90 validates row-level rendering.",CREATURE - TESTER,SMO,00090/500,1,7,2,Card 90,Variant 90
"Generated effect for card 91.\nIf this is a bulk test, card 91 validates row-level rendering.",CREATURE - TESTER,SMO,00091/500,2,1,3,Card 91,Variant 91
"Generated effect for card 92.\nIf this is a bulk test, card 92 validates row-level rendering.",CREATURE - TESTER,SMO,00092/500,3,2,4,Card 92,Variant 92
"Generated effect for card 93.\nIf this is a bulk test, card 93 validates row-level rendering.",CREATURE - TESTER,SMO,00093/500,4,3,5,Card 93,Variant 93
"Generated effect for card 94.\nIf this is a bulk test, card 94 validates row-level rendering.",CREATURE - TESTER,SMO,00094/500,5,4,6,Card 94,Variant 94
"Generated effect for card 95.\nIf this is a bulk test, card 95 validates row-level rendering.",CREATURE - TESTER,SMO,00095/500,6,5,7,Card 95,Variant 95
"Generated effect for card 96.\nIf this is a bulk test, card 96 validates row-level rendering.",CREATURE - TESTER,SMO,00096/500,7,6,1,Card 96,Variant 96
"Generated effect for card 97.\nIf this is a bulk test, card 97 validates row-level rendering.",CREATURE - TESTER,SMO,00097/500,8,7,2,Card 97,Variant 97
"Generated effect for card 98.\nIf this is a bulk test, card 98 validates row-level rendering.",CREATURE - TESTER,SMO,00098/500,9,1,3,Card 98,Variant 98
"Generated effect for card 99.\nIf this is a bulk test, card 99 validates row-level rendering.",CREATURE - TESTER,SMO,00099/500,1,2,4,Card 99,Variant 99
"Generated effect for card 100.\nIf this is a bulk test, card 100 validates row-level rendering.",CREATURE - TESTER,SMO,00100/500,2,3,5,Card 100,Variant 100
"Generated effect for card 101.\nIf this is a bulk test, card 101 validates row-level rendering.",CREATURE - TESTER,SMO,00101/500,3,4,6,Card 101,Variant 101
"Generated effect for card 102.\nIf this is a bulk test, card 102 validates row-level rendering.",CREATURE - TESTER,SMO,00102/500,4,5,7,Card 102,Variant 102
"Generated effect for card 103.\nIf this is a bulk test, card 103 validates row-level rendering.",CREATURE - TESTER,SMO,00103/500,5,6,1,Card 103,Variant 103
"Generated effect for card 104.\nIf this is a bulk test, card 104 validates row-level rendering.",CREATURE - TESTER,SMO,00104/500,6,7,2,Card 104,Variant 104
"Generated effect for card 105.\nIf this is a bulk test, card 105 validates row-level rendering.",CREATURE - TESTER,SMO,00105/500,7,1,3,Card 105,Variant 105
"Generated effect for card 106.\nIf this is a bulk test, card 106 validates row-level rendering.",CREATURE - TESTER,SMO,00106/500,8,2,4,Card 106,Variant 106
"Generated effect for card 107.\nIf this is a bulk test, card 107 validates row-level rendering.",CREATURE - TESTER,SMO,00107/500,9,3,5,Card 107,Variant 107
"Generated effect for card 108.\nIf this is a bulk test, card 108 validates row-level rendering.",CREATURE - TESTER,SMO,00108/500,1,4,6,Card 108,Variant 108
"Generated effect for card 109.\nIf this is a bulk test, card 109 validates row-level rendering.",CREATURE - TESTER,SMO,00109/500,2,5,7,Card 109,Variant 109
"Generated effect for card 110.\nIf this is a bulk test, card 110 validates row-level rendering.",CREATURE - TESTER,SMO,00110/500,3,6,1,Card 110,Variant 110
"Generated effect for card 111.\nIf this is a bulk test, card 111 validates row-level rendering.",CREATURE - TESTER,SMO,00111/500,4,7,2,Card 111,Variant 111
"Generated effect for card 112.\nIf this is a bulk test, card 112 validates row-level rendering.",CREATURE - TESTER,SMO,00112/500,5,1,3,Card 112,Variant 112
"Generated effect for card 113.\nIf this is a bulk test, card 113 validates row-level rendering.",CREATURE - TESTER,SMO,00113/500,6,2,4,Card 113,Variant 113
"Generated effect for card 114.\nIf this is a bulk test, card 114 validates row-level rendering.",CREATURE - TESTER,SMO,00114/500,7,3,5,Card 114,Variant 114
"Generated effect for card 115.\nIf this is a bulk test, card 115 validates row-level rendering.",CREATURE - TESTER,SMO,00115/500,8,4,6,Card 115,Variant 115
"Generated effect for card 116.\nIf this is a bulk test, card 116 validates row-level rendering.",CREATURE - TESTER,SMO,00116/500,9,5,7,Card 116,Variant 116
"Generated effect for card 117.\nIf this is a bulk test, card 117 validates row-level rendering.",CREATURE - TESTER,SMO,00117/500,1,6,1,Card 117,Variant 117
"Generated effect for card 118.\nIf this is a bulk test, card 118 validates row-level rendering.",CREATURE - TESTER,SMO,00118/500,2,7,2,Card 118,Variant 118
"Generated effect for card 119.\nIf this is a bulk test, card 119 validates row-level rendering.",CREATURE - TESTER,SMO,00119/500,3,1,3,Card 119,Variant 119
"Generated effect for card 120.\nIf this is a bulk test, card 120 validates row-level rendering.",CREATURE - TESTER,SMO,00120/500,4,2,4,Card 120,Variant 120
"Generated effect for card 121.\nIf this is a bulk test, card 121 validates row-level rendering.",CREATURE - TESTER,SMO,00121/500,5,3,5,Card 121,Variant 121
"Generated effect for card 122.\nIf this is a bulk test, card 122 validates row-level rendering.",CREATURE - TESTER,SMO,00122/500,6,4,6,Card 122,Variant 122
"Generated effect for card 123.\nIf this is a bulk test, card 123 validates row-level rendering.",CREATURE - TESTER,SMO,00123/500,7,5,7,Card 123,Variant 123
"Generated effect for card 124.\nIf this is a bulk test, card 124 validates row-level rendering.",CREATURE - TESTER,SMO,00124/500,8,6,1,Card 124,Variant 124
"Generated effect for card 125.\nIf this is a bulk test, card 125 validates row-level rendering.",CREATURE - TESTER,SMO,00125/500,9,7,2,Card 125,Variant 125
"Generated effect for card 126.\nIf this is a bulk test, card 126 validates row-level rendering.",CREATURE - TESTER,SMO,00126/500,1,1,3,Card 126,Variant 126
"Generated effect for card 127.\nIf this is a bulk test, card 127 validates row-level rendering.",CREATURE - TESTER,SMO,00127/500,2,2,4,Card 127,Variant 127
"Generated effect for card 128.\nIf this is a bulk test, card 128 validates row-level rendering.",CREATURE - TESTER,SMO,00128/500,3,3,5,Card 128,Variant 128
"Generated effect for card 129.\nIf this is a bulk test, card 129 validates row-level rendering.",CREATURE - TESTER,SMO,00129/500,4,4,6,Card 129,Variant 129
"Generated effect for card 130.\nIf this is a bulk test, card 130 validates row-level rendering.",CREATURE - TESTER,SMO,00130/500,5,5,7,Card 130,Variant 130
"Generated effect for card 131.\nIf this is a bulk test, card 131 validates row-level rendering.",CREATURE - TESTER,SMO,00131/500,6,6,1,Card 131,Variant 131
"Generated effect for card 132.\nIf this is a bulk test, card 132 validates row-level rendering.",CREATURE - TESTER,SMO,00132/500,7,7,2,Card 132,Variant 132
"Generated effect for card 133.\nIf this is a bulk test, card 133 validates row-level rendering.",CREATURE - TESTER,SMO,00133/500,8,1,3,Card 133,Variant 133
"Generated effect for card 134.\nIf this is a bulk test, card 134 validates row-level rendering.",CREATURE - TESTER,SMO,00134/500,9,2,4,Card 134,Variant 134
"Generated effect for card 135.\nIf this is a bulk test, card 135 validates row-level rendering.",CREATURE - TESTER,SMO,00135/500,1,3,5,Card 135,Variant 135
"Generated effect for card 136.\nIf this is a bulk test, card 136 validates row-level rendering.",CREATURE - TESTER,SMO,00136/500,2,4,6,Card 136,Variant 136
"Generated effect for card 137.\nIf this is a bulk test, card 137 validates row-level rendering.",CREATURE - TESTER,SMO,00137/500,3,5,7,Card 137,Variant 137
"Generated effect for card 138.\nIf this is a bulk test, card 138 validates row-level rendering.",CREATURE - TESTER,SMO,00138/500,4,6,1,Card 138,Variant 138
"Generated effect for card 139.\nIf this is a bulk test, card 139 validates row-level rendering.",CREATURE - TESTER,SMO,00139/500,5,7,2,Card 139,Variant 139
"Generated effect for card 140.\nIf this is a bulk test, card 140 validates row-level rendering.",CREATURE - TESTER,SMO,00140/500,6,1,3,Card 140,Variant 140
"Generated effect for card 141.\nIf this is a bulk test, card 141 validates row-level rendering.",CREATURE - TESTER,SMO,00141/500,7,2,4,Card 141,Variant 141
"Generated effect for card 142.\nIf this is a bulk test, card 142 validates row-level rendering.",CREATURE - TESTER,SMO,00142/500,8,3,5,Card 142,Variant 142
"Generated effect for card 143.\nIf this is a bulk test, card 143 validates row-level rendering.",CREATURE - TESTER,SMO,00143/500,9,4,6,Card 143,Variant 143
"Generated effect for card 144.\nIf this is a bulk test, card 144 validates row-level rendering.",CREATURE - TESTER,SMO,00144/500,1,5,7,Card 144,Variant 144
"Generated effect for card 145.\nIf this is a bulk test, card 145 validates row-level rendering.",CREATURE - TESTER,SMO,00145/500,2,6,1,Card 145,Variant 145
"Generated effect for card 146.\nIf this is a bulk test, card 146 validates row-level rendering.",CREATURE - TESTER,SMO,00146/500,3,7,2,Card 146,Variant 146
"Generated effect for card 147.\nIf this is a bulk test, card 147 validates row-level rendering.",CREATURE - TESTER,SMO,00147/500,4,1,3,Card 147,Variant 147
"Generated effect for card 148.\nIf this is a bulk test, card 148 validates row-level rendering.",CREATURE - TESTER,SMO,00148/500,5,2,4,Card 148,Variant 148
"Generated effect for card 149.\nIf this is a bulk test, card 149 validates row-level rendering.",CREATURE - TESTER,SMO,00149/500,6,3,5,Card 149,Variant 149
"Generated effect for card 150.\nIf this is a bulk test, card 150 validates row-level rendering.",CREATURE - TESTER,SMO,00150/500,7,4,6,Card 150,Variant 150
"Generated effect for card 151.\nIf this is a bulk test, card 151 validates row-level rendering.",CREATURE - TESTER,SMO,00151/500,8,5,7,Card 151,Variant 151
"Generated effect for card 152.\nIf this is a bulk test, card 152 validates row-level rendering.",CREATURE - TESTER,SMO,00152/500,9,6,1,Card 152,Variant 152
"Generated effect for card 153.\nIf this is a bulk test, card 153 validates row-level rendering.",CREATURE - TESTER,SMO,00153/500,1,7,2,Card 153,Variant 153
"Generated effect for card 154.\nIf this is a bulk test, card 154 validates row-level rendering.",CREATURE - TESTER,SMO,00154/500,2,1,3,Card 154,Variant 154
"Generated effect for card 155.\nIf this is a bulk test, card 155 validates row-level rendering.",CREATURE - TESTER,SMO,00155/500,3,2,4,Card 155,Variant 155
"Generated effect for card 156.\nIf this is a bulk test, card 156 validates row-level rendering.",CREATURE - TESTER,SMO,00156/500,4,3,5,Card 156,Variant 156
"Generated effect for card 157.\nIf this is a bulk test, card 157 validates row-level rendering.",CREATURE - TESTER,SMO,00157/500,5,4,6,Card 157,Variant 157
"Generated effect for card 158.\nIf this is a bulk test, card 158 validates row-level rendering.",CREATURE - TESTER,SMO,00158/500,6,5,7,Card 158,Variant 158
"Generated effect for card 159.\nIf this is a bulk test, card 159 validates row-level rendering.",CREATURE - TESTER,SMO,00159/500,7,6,1,Card 159,Variant 159
"Generated effect for card 160.\nIf this is a bulk test, card 160 validates row-level rendering.",CREATURE - TESTER,SMO,00160/500,8,7,2,Card 160,Variant 160
"Generated effect for card 161.\nIf this is a bulk test, card 161 validates row-level rendering.",CREATURE - TESTER,SMO,00161/500,9,1,3,Card 161,Variant 161
"Generated effect for card 162.\nIf this is a bulk test, card 162 validates row-level rendering.",CREATURE - TESTER,SMO,00162/500,1,2,4,Card 162,Variant 162
"Generated effect for card 163.\nIf this is a bulk test, card 163 validates row-level rendering.",CREATURE - TESTER,SMO,00163/500,2,3,5,Card 163,Variant 163
"Generated effect for card 164.\nIf this is a bulk test, card 164 validates row-level rendering.",CREATURE - TESTER,SMO,00164/500,3,4,6,Card 164,Variant 164
"Generated effect for card 165.\nIf this is a bulk test, card 165 validates row-level rendering.",CREATURE - TESTER,SMO,00165/500,4,5,7,Card 165,Variant 165
"Generated effect for card 166.\nIf this is a bulk test, card 166 validates row-level rendering.",CREATURE - TESTER,SMO,00166/500,5,6,1,Card 166,Variant 166
"Generated effect for card 167.\nIf this is a bulk test, card 167 validates row-level rendering.",CREATURE - TESTER,SMO,00167/500,6,7,2,Card 167,Variant 167
"Generated effect for card 168.\nIf this is a bulk test, card 168 validates row-level rendering.",CREATURE - TESTER,SMO,00168/500,7,1,3,Card 168,Variant 168
"Generated effect for card 169.\nIf this is a bulk test, card 169 validates row-level rendering.",CREATURE - TESTER,SMO,00169/500,8,2,4,Card 169,Variant 169
"Generated effect for card 170.\nIf this is a bulk test, card 170 validates row-level rendering.",CREATURE - TESTER,SMO,00170/500,9,3,5,Card 170,Variant 170
"Generated effect for card 171.\nIf this is a bulk test, card 171 validates row-level rendering.",CREATURE - TESTER,SMO,00171/500,1,4,6,Card 171,Variant 171
"Generated effect for card 172.\nIf this is a bulk test, card 172 validates row-level rendering.",CREATURE - TESTER,SMO,00172/500,2,5,7,Card 172,Variant 172
"Generated effect for card 173.\nIf this is a bulk test, card 173 validates row-level rendering.",CREATURE - TESTER,SMO,00173/500,3,6,1,Card 173,Variant 173
"Generated effect for card 174.\nIf this is a bulk test, card 174 validates row-level rendering.",CREATURE - TESTER,SMO,00174/500,4,7,2,Card 174,Variant 174
"Generated effect for card 175.\nIf this is a bulk test, card 175 validates row-level rendering.",CREATURE - TESTER,SMO,00175/500,5,1,3,Card 175,Variant 175
"Generated effect for card 176.\nIf this is a bulk test, card 176 validates row-level rendering.",CREATURE - TESTER,SMO,00176/500,6,2,4,Card 176,Variant 176
"Generated effect for card 177.\nIf this is a bulk test, card 177 validates row-level rendering.",CREATURE - TESTER,SMO,00177/500,7,3,5,Card 177,Variant 177
"Generated effect for card 178.\nIf this is a bulk test, card 178 validates row-level rendering.",CREATURE - TESTER,SMO,00178/500,8,4,6,Card 178,Variant 178
"Generated effect for card 179.\nIf this is a bulk test, card 179 validates row-level rendering.",CREATURE - TESTER,SMO,00179/500,9,5,7,Card 179,Variant 179
"Generated effect for card 180.\nIf this is a bulk test, card 180 validates row-level rendering.",CREATURE - TESTER,SMO,00180/500,1,6,1,Card 180,Variant 180
"Generated effect for card 181.\nIf this is a bulk test, card 181 validates row-level rendering.",CREATURE - TESTER,SMO,00181/500,2,7,2,Card 181,Variant 181
"Generated effect for card 182.\nIf this is a bulk test, card 182 validates row-level rendering.",CREATURE - TESTER,SMO,00182/500,3,1,3,Card 182,Variant 182
"Generated effect for card 183.\nIf this is a bulk test, card 183 validates row-level rendering.",CREATURE - TESTER,SMO,00183/500,4,2,4,Card 183,Variant 183
"Generated effect for card 184.\nIf this is a bulk test, card 184 validates row-level rendering.",CREATURE - TESTER,SMO,00184/500,5,3,5,Card 184,Variant 184
"Generated effect for card 185.\nIf this is a bulk test, card 185 validates row-level rendering.",CREATURE - TESTER,SMO,00185/500,6,4,6,Card 185,Variant 185
"Generated effect for card 186.\nIf this is a bulk test, card 186 validates row-level rendering.",CREATURE - TESTER,SMO,00186/500,7,5,7,Card 186,Variant 186
"Generated effect for card 187.\nIf this is a bulk test, card 187 validates row-level rendering.",CREATURE - TESTER,SMO,00187/500,8,6,1,Card 187,Variant 187
"Generated effect for card 188.\nIf this is a bulk test, card 188 validates row-level rendering.",CREATURE - TESTER,SMO,00188/500,9,7,2,Card 188,Variant 188
